date,avgTa,avgPa,avgPv,avgTd,avgRhm,sumRn,avgWs,sumSsHr,insolation
2017/01/01,-1.84,1015.87,3.38,-9.45,58.93,14.57,2.28,197.98,64.41
2017/02/01,-0.35,1013.81,3.49,-8.51,57.11,14.12,2.48,206.25,68.09
2017/03/01,5.6,1010.17,4.79,-4.08,54.13,10.08,2.41,246.53,66.41
2017/04/01,12.8,1003.66,8.09,3.07,57.24,55.08,2.74,251.75,63.66
2017/05/01,18.17,1003.02,11.79,8.85,58.96,20.65,2.51,296.95,67.43
2017/06/01,22.07,999.43,16.17,13.56,63.31,50.13,2.39,275.91,62.43
2017/07/01,25.98,998.42,27.4,22.52,82.91,466.48,2.01,121.11,26.99
2017/08/01,25,998.66,24.32,20.14,76.89,277.98,2.2,163.74,38.87
2017/09/01,21.01,1004.15,16.84,14.37,68.82,25.8,1.97,235.45,63.82
2017/10/01,15.24,1011.89,11.15,7.59,63.62,21.63,1.92,203.68,59.33
2017/11/01,5.2,1013.49,5.72,-2.96,59.16,29.99,2.31,173.48,58.75
2017/12/01,-2.05,1016.16,3.43,-9.54,59.87,30.99,2.16,174.45,58.44
2018/01/01,-4.3,1014.73,2.68,-12.83,54.11,7.27,2.17,182.88,60.94
2018/02/01,-2.12,1014.01,2.76,-12.31,49.71,26.97,2.43,197.14,65.93
2018/03/01,7.01,1010.97,6.62,-0.06,64.71,51.4,2.4,202.97,54.72
2018/04/01,11.96,1006.41,8.16,3,60.07,121.65,2.62,215.51,54.53
2018/05/01,16.97,1003.6,13.17,10.39,69.2,184.92,2.19,221.03,50.23
2018/06/01,21.76,1000.09,17.85,15.42,70.64,139.84,1.88,222.52,50.35
2018/07/01,26.5,1001.1,25.36,21.1,75.31,185.37,1.82,233.89,52.68
2018/08/01,27.59,999.65,26.01,21.52,72.38,235.45,1.99,235.3,55.96
2018/09/01,20.64,1005.66,16.42,13.91,68.47,62.45,1.9,212.31,56.88
2018/10/01,12.56,1011.09,9.44,5.52,65.51,102.93,1.88,234.57,67.33
2018/11/01,7.39,1015.6,6.77,0.19,64.47,68.58,1.66,170.53,57.53
2018/12/01,-0.87,1019.43,3.41,-10.18,52.62,17.64,2.31,190.86,64.75
2019/01/01,-1.29,1018.07,2.96,-10.82,52.4,0.28,2.15,211.96,69.03
2019/02/01,0.52,1016.33,3.54,-8.74,54.2,24.95,2.16,190.49,63
2019/03/01,6.21,1009.22,5.48,-2.3,59.2,28.65,2.45,205.93,55.57
2019/04/01,11.2,1007.28,7.65,1.82,58.2,40.9,2.17,216.99,54.95
2019/05/01,18.1,1003.92,11.18,7.84,56.33,33.73,2.34,307.23,69.82
2019/06/01,21.35,999.54,17.19,14.86,69.98,62.69,1.9,227.21,51.42
2019/07/01,24.95,998.42,23.71,19.88,76.58,221.53,2.02,154.92,34.69
2019/08/01,26.23,999.14,25.31,21.1,75.91,147.9,1.76,246.18,58.99
2019/09/01,21.7,1007.03,19.21,16.38,74.33,207.9,2.02,162.93,43.62
2019/10/01,15.67,1011.2,12.55,9.62,70.36,44.84,2.05,222.61,63.84
2019/11/01,7.23,1014.73,6.68,-0.1,63.58,80.3,2.21,190.61,62.36
2019/12/01,1.28,1017.52,4.69,-4.83,66.2,25.17,2.25,151.02,50.56
2020/01/01,1.32,1015.49,4.38,-5.19,64.49,60.58,2.13,178.17,58.06
2020/02/01,2.14,1016.64,5.08,-3.95,67.27,49.69,2.29,176.61,56.33
2020/03/01,7.04,1009.72,5.49,-2.5,55.49,13.96,2.72,258.12,69.49
2020/04/01,10.44,1009.17,7.02,0.89,56.36,17.18,3.02,289.21,73.07
2020/05/01,16.95,1002.37,13.85,11.34,73.84,126.12,2.26,180.82,41.03
2020/06/01,22.5,998.53,19.78,17.19,75.04,124.62,2.11,210.67,47.67
2020/07/01,23.18,999.15,22.97,19.58,82.22,270.22,2.08,143.42,31.97
2020/08/01,25.76,1000.64,29.19,23.59,89.07,588.9,2.25,87.46,20.79
2020/09/01,20.66,1004.39,18.46,15.9,76.53,183.69,2.26,188.09,50.48
2020/10/01,13.69,1013.02,10.29,6.56,65.8,5.75,1.97,228.63,65.74
2020/11/01,7.61,1017.04,7.48,1.21,67.09,77.77,2.23,170.57,55.91
2020/12/01,-0.53,1018.53,3.82,-7.61,61.09,5.46,2.27,192.25,64.41
2021/01/01,-2.73,1016.57,3.5,-9.76,61.73,23.5,2.42,175.12,57.6
2021/02/01,2.05,1013.36,4.48,-5.86,59.64,7.96,2.67,186.97,61.72
2021/03/01,7.93,1011.82,6.98,1.42,67.56,101.69,2.28,216.38,58.29
2021/04/01,13.18,1010.41,8.51,4.18,58.87,107.28,2.5,219.64,55.53
2021/05/01,16.21,1001.27,13.1,10.43,72.69,180.86,2.32,210.98,47.9
2021/06/01,21.66,1000.04,19.8,17.2,78.24,88.18,1.94,193.19,43.72
2021/07/01,26.83,1000.43,26.42,21.9,76.69,118.54,1.78,224.24,49.97
2021/08/01,25.03,1000.96,24.61,20.69,79,212.01,1.86,148.07,35.16
2021/09/01,21.87,1005.88,19.24,16.78,75.02,139.61,2.1,189.32,50.77
2021/10/01,15.08,1013.56,13.07,9.39,72.07,52.48,1.98,179.29,51.52
2021/11/01,7.87,1011.72,7.64,2.26,70.13,61.48,2.14,160.56,52.6
2021/12/01,0.54,1017.12,4.43,-6.14,63.76,8.29,2.39,175.43,58.77
