date,temperature,precipitation,wind_speed,humidity,water_vapor_pressure,dew_point,atmospheric_pressure,sunshine
Jan-17,-1.8,14.9,2.3,55,3.2,-10.3,1014.7,209
Feb-17,-0.2,11.1,2.4,54,3.3,-9.2,1012.6,210
Mar-17,6.3,7.9,2.4,48,4.5,-4.9,1009,255.2
Apr-17,13.9,61.6,2.6,52,8,2.9,1002.6,259.7
May-17,19.5,16.1,2.4,52,11.4,8.3,1002,301.5
Jun-17,23.3,66.6,2.4,57,15.7,13.1,998.4,285.2
Jul-17,26.9,621,2,77,26.9,22.2,997.5,123.1
Aug-17,25.9,297,2.3,71,23.7,19.7,997.7,166.2
Sep-17,22.1,35,2,61,16,13.6,1003.1,233.7
Oct-17,16.4,26.5,1.9,56,10.7,7,1010.7,222.7
Nov-17,5.6,40.7,2.1,54,5.4,-3.9,1012.4,163.9
Dec-17,-1.9,34.8,1.8,56,3.3,-10.3,1015.1,176.1
